condition_id,period
0x5338d1de000b91193e3ea4a066bef50d73c77d0d4ace294e474a236599608dc3,177
0x590559163a05c7e4d56713d51639e94a0c6ee906aee788098cd5487d8bd1836d,172
0xf0abd3a7cc2e06aa79553f8c4e92ea18f8bd3d5e075cdc2daf228a16e9ec4156,179
0x0317ed1eeb46a4f7b517925b61bbf94d8371ba45c58a0c2eb89d447e87aba711,167
0xbb651bf09b0db35efe77e9323eec6f09fbd14ae8b64e118dfb12ad6aeb581682,179
0x6db528a803c762a17e401e751e59c6dd4776e510fb4cc093d2c28f8e1028a945,167
0xaafae2f4f25c0a1785d421d152b2a30cb04042d2370e5a04762fe70abb97d6c4,167
0x3b692dcdd40f9bfdd313e251c0d5fa4b7cfb60194f321d2e81ef2c846523543d,259
0x77ac6afb0079727f461b5ceecab05a3407bd6ae78f59084f7f4054a6c17d5af4,197
0x99c0965b13b8374737bf087337afe310fe9fe22d0b2a35d7972cae10ddba2711,179
0xf4e6589ca397e61af654e4c801569d41b4fa9e97a25a846f625b833d9f964bd0,167
0x9d8a92fee4fd3998176f1d5f90c072d614345c2082a40169d61abf05cb7a9b34,30
0xcf0dbcdce6042365399099f1baa4859c92f45b9c762c26690244d086135030aa,66
0xcd97873041bcc412c9efec2af8db063bac7f8e2038ec500c6e9af3723b6324cb,179
0xd013360f1511a7cbb64b70aa0089ce9a0b3f4ebc23dc4a6892e6d38aa8132ea8,172
0x3ef44f3a40ee5d7a15b319c44e7702d094d0036acc86c9c5991ba90801adddb7,94
0x58333181d7a90f6c8b83fec76e727d545188a326e02eeb88298eeba0814f925a,44
0xfad8f49d82c710679b96a547e4a9bce1b4ce3c55d6c0a7a19d67666cd8201c4f,28
0x0ff615bc149399562ff6f02a80180b5d2fa58a4b6c681af549e60b57549bbe78,6
0x62eca81c2ae07d0a77fb3a5ce4a9fc144b065670094134ed12f82a444cd38f17,6
0x872b438ccfc222fe6d3aee45a9e3bfe7fb37fb924990dd1bd79233b2a23e91b8,6
0xd6a349ff2d8d512a482c8dc93d667ce9a351694edf8423bf1e210363d65eb14e,6
0x245c706643f9d3c04c7b6c91c8a9e5f41187f582839fa6e9cce3b31bd087f008,6
0x51a91c22fda1deb33653b71754f6da10c280a827c3570e2ac61d3400faa21e36,6
0xeb4a7e958caa73f7797aa722d13ffa8c46fe7b2f7af1c254da092fc12174953d,7
0xe08a8b0342600067f62c58d1fde4fd794c1b5c7cbd2fada16f16ddb1ba6efa6c,6
0x2d1cd38743e145bd6daa8fac1921791f2a27c45538dedf6edf6ca395c9ce6a9b,6
0x03b7010e69ff09a3371f53c7b2fe944182660fc9ac1497518784c650c0801b94,7
0xbd1be64dae180e8e4a5ef75048966507b5c66eac40b7981b3834f189f58ac673,6
0x22c317ba2e464591e4c98b056a478c41d7c397f5e959f4352b07dcfdce2ab0af,6
0x8d937bc368cebe183a508b0fab4a1a2dd379ae44f812bb364068f8ef683a7641,6
0x0bc44e3e0f5796fefb68b3866832f045503fc83bcc3b15089f0a83fa27cdb79a,6
0x827b341aaeb98dffae029e1393b553d3a12a8622bc69665285e1cc2cc27d144c,6
0xa307f951da35ce15b31080871af3c86adf84ba59a0825727d8d854afce1597f5,6
0x4fea9b48538758ff47c93af9950141d1b5b1afa501231e39842bcb8c38f72ab7,6
0xcd6a6e29d94461e75421d013bd9f84556e0cc463fe4de071ea72bc6e796b64f2,6
0x2f8383d805121a71c03b4dd3bfe626a00086de49f4f7f62294b46723ebce7978,9
0x6d47bed13337829eaa1a4cd6822b0e449af2b1465d28442d8cf3cdf194c7ecce,6
0x0ee1429ca3e6e113e9b6f943a5fd6144ef9f374c54210e362fa6f6ac5210c02d,6
0x4f4fcd345250caf8a129d5528b0f9f641c34dbf2d96a8650590c8485466de299,8
0x8a0bc6f8147bac03a50b966719cb3944602c4c1ca50e6bfde043471109214070,6
0xca7b4763b1cbed119234923f5018d42ffc05350e9e74e6c62e027b0876518f51,5
0xf5e57b8f5c1b5d7f0981266455bbf0739f3352b0854bfe530effc191fe2f4563,6
